time, rx, ry, rz, vx, vy, vz
5.17,0,0,0.441826,0,0,0.89709,
5.18,0,0,0.450774,0,0,0.892627,
5.19,0,0,0.459678,0,0,0.888075,
5.2,0,0,0.468536,0,0,0.883433,
5.21,0,0,0.477347,0,0,0.878704,
5.22,0,0,0.48611,0,0,0.873887,
5.23,0,0,0.494824,0,0,0.868982,
5.24,0,0,0.50349,0,0,0.863991,
5.25,0,0,0.512104,0,0,0.858913,
5.26,0,0,0.520668,0,0,0.853749,
5.27,0,0,0.529179,0,0,0.848499,
5.28,0,0,0.537638,0,0,0.843165,
5.29,0,0,0.546043,0,0,0.837747,
5.3,0,0,0.554393,0,0,0.832245,
5.31,0,0,0.562687,0,0,0.826659,
5.32,0,0,0.570926,0,0,0.820991,
5.33,0,0,0.579107,0,0,0.815241,
5.34,0,0,0.587231,0,0,0.809409,
5.35,0,0,0.595295,0,0,0.803497,
5.36,0,0,0.603301,0,0,0.797504,
5.37,0,0,0.611246,0,0,0.791431,
5.38,0,0,0.619129,0,0,0.785279,
5.39,0,0,0.626951,0,0,0.779049,
5.4,0,0,0.63471,0,0,0.772741,
5.41,0,0,0.642406,0,0,0.766355,
5.42,0,0,0.650037,0,0,0.759893,
5.43,0,0,0.657604,0,0,0.753355,
5.44,0,0,0.665104,0,0,0.746741,
5.45,0,0,0.672539,0,0,0.740053,
5.46,0,0,0.679906,0,0,0.733291,
5.47,0,0,0.687204,0,0,0.726455,
5.48,0,0,0.694435,0,0,0.719547,
5.49,0,0,0.701595,0,0,0.712567,
5.5,0,0,0.708686,0,0,0.705515,
5.51,0,0,0.715706,0,0,0.698393,
5.52,0,0,0.722654,0,0,0.691202,
5.53,0,0,0.72953,0,0,0.683941,
5.54,0,0,0.736333,0,0,0.676611,
5.55,0,0,0.743062,0,0,0.669214,
5.56,0,0,0.749717,0,0,0.66175,
5.57,0,0,0.756297,0,0,0.65422,
5.58,0,0,0.762801,0,0,0.646625,
5.59,0,0,0.769229,0,0,0.638965,
5.6,0,0,0.775581,0,0,0.631241,
5.61,0,0,0.781854,0,0,0.623453,
5.62,0,0,0.78805,0,0,0.615604,
5.63,0,0,0.794166,0,0,0.607693,
5.64,0,0,0.800204,0,0,0.599721,
5.65,0,0,0.806161,0,0,0.591689,
5.66,0,0,0.812037,0,0,0.583598,
5.67,0,0,0.817833,0,0,0.575449,
5.68,0,0,0.823546,0,0,0.567242,
5.69,0,0,0.829178,0,0,0.558978,
5.7,0,0,0.834726,0,0,0.550659,
5.71,0,0,0.840191,0,0,0.542284,
5.72,0,0,0.845572,0,0,0.533855,
5.73,0,0,0.850868,0,0,0.525373,
5.74,0,0,0.856079,0,0,0.516839,
